Date,Mineral Composite Index,Return Rate (%),Anomaly Score,Anomaly Grade,Detection Reason
2012-02-17,1876.398419,-0.015237595,1,주의,RSI 과매도 구간
2012-03-07,1884.433766,-0.014836924,1,주의,RSI 과매도 구간
2012-03-12,1871.083318,-0.003983765,1,주의,MACD 데드크로스
2012-03-20,1897.056237,-0.002177009,1,주의,MACD 골든크로스
2012-03-22,1881.178589,-0.001105343,1,주의,MACD 데드크로스
2012-07-11,1693.792172,-0.000190664,1,주의,MACD 골든크로스
2012-07-24,1632.069438,-0.02180071,1,주의,RSI 과매도 구간
2012-08-02,1622.51468,-0.007850048,1,주의,MACD 데드크로스
2012-08-13,1607.825387,-0.013510831,1,주의,RSI 과매도 구간
2012-08-30,1547.310695,-0.016418276,1,주의,RSI 과매도 구간
2012-09-12,1639.783013,0.012458236,1,주의,MACD 골든크로스
2012-09-17,1682.983908,0.03400645,2,주의,"등락율 급등락, 이동평균 대비 과도한 이탈"
2012-09-18,1679.616819,-0.002000666,1,주의,이동평균 대비 과도한 이탈
2012-09-19,1685.029169,0.003222372,1,주의,이동평균 대비 과도한 이탈
2012-09-20,1696.947825,0.007073264,1,주의,이동평균 대비 과도한 이탈
2012-09-25,1645.414807,-0.01585434,1,주의,RSI 과매도 구간
2012-10-31,1604.853389,0.004701345,1,주의,MACD 데드크로스
2012-11-15,1643.697845,0.004752467,1,주의,MACD 골든크로스
2013-02-22,1800.536169,-0.013806788,1,주의,RSI 과매도 구간
2013-02-26,1780.377948,-0.003231385,1,주의,MACD 데드크로스
2013-03-04,1743.821845,-0.014798717,1,주의,RSI 과매도 구간
2013-03-19,1682.934429,-0.015539941,1,주의,RSI 과매도 구간
2013-04-16,1632.740689,-0.021055993,1,주의,RSI 과매도 구간
2013-06-07,1591.514509,-0.015527533,1,주의,RSI 과매도 구간
2013-06-11,1562.435175,-0.013394856,1,주의,RSI 과매도 구간
2013-06-25,1495.944667,-0.017006113,1,주의,RSI 과매도 구간
2013-07-18,1543.167794,0.006438375,1,주의,MACD 골든크로스
2013-09-23,1584.964208,-0.002246101,1,주의,MACD 데드크로스
2013-10-09,1591.683679,0.00856674,1,주의,MACD 골든크로스
2013-11-21,1585.232399,0.001063059,1,주의,MACD 데드크로스
2013-12-31,1614.161331,0.001152298,1,주의,MACD 골든크로스
2014-01-14,1580.115938,0.004229195,1,주의,MACD 데드크로스
2014-03-11,1453.741566,-0.031723182,2,주의,"등락율 급등락, RSI 과매도 구간"
2014-04-11,1521.64832,0.007609274,1,주의,MACD 골든크로스
