Date,Mineral Composite Index,Return Rate (%),Anomaly Score,Anomaly Grade,Detection Reason
2012-09-17,1682.983908,0.03400645,2,주의,"등락율 급등락, 이동평균 대비 과도한 이탈"
2014-03-11,1453.741566,-0.031723182,2,주의,"등락율 급등락, RSI 과매도 구간"
2015-07-08,1150.979229,-0.017236454,2,주의,"이동평균 대비 과도한 이탈, RSI 과매도 구간"
2015-07-09,1123.703916,-0.023697485,3,경계,"이동평균 대비 과도한 이탈, 볼린저밴드 하단 이탈, RSI 과매도 구간"
2015-08-25,1100.133661,-0.028094143,2,주의,"등락율 급등락, RSI 과매도 구간"
2016-03-08,1153.516439,0.039558677,3,경계,"등락율 급등락, 이동평균 대비 과도한 이탈, 볼린저밴드 상단 이탈"
2016-11-15,1580.694331,-0.024031045,2,주의,"이동평균 대비 과도한 이탈, RSI 과매도 구간"
2017-05-08,1455.701773,-0.015355448,2,주의,"이동평균 대비 과도한 이탈, RSI 과매도 구간"
2018-04-25,1748.898115,-0.017604768,2,주의,"RSI 과매도 구간, MACD 골든크로스"
2019-01-03,1631.744454,-0.014085384,2,주의,"RSI 과매도 구간, MACD 데드크로스"
2019-08-06,1535.876196,-0.016075071,3,경계,"이동평균 대비 과도한 이탈, RSI 과매도 구간, MACD 데드크로스"
2020-03-24,1355.275265,-0.030189335,3,경계,"등락율 급등락, 이동평균 대비 과도한 이탈, RSI 과매도 구간"
2021-05-12,2351.936375,0.002106108,2,주의,"이동평균 대비 과도한 이탈, MACD 골든크로스"
2021-08-20,2483.061895,-0.036569149,2,주의,"등락율 급등락, RSI 과매도 구간"
2021-10-07,2823.032618,-0.027859796,3,경계,"등락율 급등락, RSI 과매도 구간, MACD 골든크로스"
2021-10-12,2994.413641,0.046907036,2,주의,"등락율 급등락, 이동평균 대비 과도한 이탈"
2021-10-13,3015.549436,0.007058408,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2021-10-14,3007.404935,-0.002700835,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2021-10-15,3044.024671,0.012176523,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2021-10-18,3086.644397,0.01400111,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2021-10-19,3073.746503,-0.004178613,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2021-10-20,3045.634074,-0.009145982,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2021-10-21,2961.035323,-0.027777057,3,경계,"등락율 급등락, 변동성 확대, RSI 과매도 구간"
2021-10-22,2817.93646,-0.048327307,3,경계,"등락율 급등락, 변동성 확대, RSI 과매도 구간"
2021-10-28,2774.196109,-0.03312653,2,주의,"등락율 급등락, RSI 과매도 구간"
2021-10-29,2696.182048,-0.028121322,3,경계,"등락율 급등락, 이동평균 대비 과도한 이탈, RSI 과매도 구간"
2021-11-01,2614.225342,-0.030397319,5,심각,"등락율 급등락, 이동평균 대비 과도한 이탈, 변동성 확대, RSI 과매도 구간, Isolation Forest 이상치"
2021-11-02,2555.863993,-0.022324529,4,심각,"이동평균 대비 과도한 이탈, 변동성 확대, RSI 과매도 구간, Isolation Forest 이상치"
2021-11-03,2513.569325,-0.01654809,4,심각,"이동평균 대비 과도한 이탈, 변동성 확대, RSI 과매도 구간, MACD 데드크로스"
2021-11-04,2613.691474,0.039832659,4,심각,"등락율 급등락, 이동평균 대비 과도한 이탈, 변동성 확대, Isolation Forest 이상치"
2021-11-05,2583.233885,-0.011653093,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2021-11-08,2519.596197,-0.024634892,4,심각,"이동평균 대비 과도한 이탈, 변동성 확대, RSI 과매도 구간, Isolation Forest 이상치"
2021-11-09,2570.266197,0.020110365,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2021-11-10,2561.416789,-0.003442993,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2021-11-11,2496.748825,-0.025246951,4,심각,"이동평균 대비 과도한 이탈, 변동성 확대, RSI 과매도 구간, Isolation Forest 이상치"
2021-11-12,2541.758019,0.018027121,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2021-11-15,2527.245722,-0.005709551,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2021-11-16,2507.206329,-0.007929341,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2021-11-17,2495.09592,-0.00483024,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2021-11-18,2487.831012,-0.002911675,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2021-11-19,2473.064842,-0.005935359,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2021-11-29,2623.529398,-0.035128566,2,주의,"등락율 급등락, RSI 과매도 구간"
2021-12-01,2541.768626,-0.027684839,2,주의,"등락율 급등락, RSI 과매도 구간"
2022-01-24,3110.784265,0.012799326,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2022-01-25,3086.856265,-0.007691951,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2022-01-26,3102.525443,0.005076096,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2022-01-27,3155.900789,0.017203838,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2022-01-28,3141.159763,-0.004670941,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2022-01-31,3155.461921,0.004553146,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2022-02-25,3426.537774,0.040319075,3,경계,"등락율 급등락, 이동평균 대비 과도한 이탈, 볼린저밴드 상단 이탈"
2022-03-02,3539.906454,0.03151382,2,주의,"등락율 급등락, 이동평균 대비 과도한 이탈"
2022-03-03,3900.406806,0.101838949,5,심각,"등락율 급등락, 이동평균 대비 과도한 이탈, 볼린저밴드 상단 이탈, 변동성 확대, Isolation Forest 이상치"
2022-03-04,3856.392767,-0.011284474,4,심각,"이동평균 대비 과도한 이탈, 볼린저밴드 상단 이탈, 변동성 확대, Isolation Forest 이상치"
2022-03-07,4010.222777,0.039889612,5,심각,"등락율 급등락, 이동평균 대비 과도한 이탈, 볼린저밴드 상단 이탈, 변동성 확대, Isolation Forest 이상치"
2022-03-08,4212.575581,0.050459243,5,심각,"등락율 급등락, 이동평균 대비 과도한 이탈, 볼린저밴드 상단 이탈, 변동성 확대, Isolation Forest 이상치"
2022-03-09,4095.184037,-0.027866929,5,심각,"등락율 급등락, 이동평균 대비 과도한 이탈, 변동성 확대, RSI 과매도 구간, Isolation Forest 이상치"
2022-03-10,4082.886259,-0.003002986,3,경계,"이동평균 대비 과도한 이탈, 변동성 확대, Isolation Forest 이상치"
2022-03-11,3966.655828,-0.028467712,5,심각,"등락율 급등락, 이동평균 대비 과도한 이탈, 변동성 확대, RSI 과매도 구간, Isolation Forest 이상치"
2022-03-14,3966.836146,4.55e-05,3,경계,"이동평균 대비 과도한 이탈, 변동성 확대, Isolation Forest 이상치"
2022-03-15,3851.166569,-0.029159152,5,심각,"등락율 급등락, 이동평균 대비 과도한 이탈, 변동성 확대, RSI 과매도 구간, Isolation Forest 이상치"
2022-03-16,3684.040869,-0.043396124,4,심각,"등락율 급등락, 변동성 확대, RSI 과매도 구간, Isolation Forest 이상치"
2022-03-17,3591.35838,-0.025157834,3,경계,"변동성 확대, RSI 과매도 구간, Isolation Forest 이상치"
2022-03-18,3595.52342,0.001159739,2,주의,"변동성 확대, Isolation Forest 이상치"
2022-03-21,3632.140519,0.01018408,2,주의,"변동성 확대, Isolation Forest 이상치"
2022-03-22,3622.699182,-0.002599387,2,주의,"변동성 확대, Isolation Forest 이상치"
2022-03-23,3682.954247,0.016632644,2,주의,"변동성 확대, Isolation Forest 이상치"
2022-03-24,3723.581048,0.011031036,2,주의,"변동성 확대, Isolation Forest 이상치"
2022-03-25,3811.471115,0.02360364,2,주의,"변동성 확대, Isolation Forest 이상치"
2022-03-28,3766.183559,-0.01188191,2,주의,"변동성 확대, Isolation Forest 이상치"
2022-03-29,3773.077672,0.00183053,2,주의,"변동성 확대, Isolation Forest 이상치"
2022-03-30,3765.221779,-0.002082091,2,주의,"변동성 확대, Isolation Forest 이상치"
2022-03-31,3780.208675,0.003980349,2,주의,"변동성 확대, Isolation Forest 이상치"
2022-04-01,3807.020314,0.007092635,2,주의,"변동성 확대, Isolation Forest 이상치"
2022-04-04,3802.775263,-0.001115058,2,주의,"변동성 확대, Isolation Forest 이상치"
2022-04-05,3829.200859,0.006949029,2,주의,"변동성 확대, Isolation Forest 이상치"
2022-04-06,3867.332916,0.009958229,3,경계,"변동성 확대, MACD 데드크로스, Isolation Forest 이상치"
2022-05-10,3617.197369,-0.030304666,3,경계,"등락율 급등락, RSI 과매도 구간, Isolation Forest 이상치"
2022-06-23,3395.535663,-0.017203637,3,경계,"이동평균 대비 과도한 이탈, 변동성 확대, RSI 과매도 구간"
2022-06-24,3381.907023,-0.004013694,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2022-06-27,3321.181972,-0.017955861,3,경계,"이동평균 대비 과도한 이탈, 변동성 확대, RSI 과매도 구간"
2022-06-28,3355.6841,0.010388509,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2022-07-01,3343.461866,-0.015268678,2,주의,"변동성 확대, RSI 과매도 구간"
2022-07-04,3253.569865,-0.026885906,4,심각,"등락율 급등락, 이동평균 대비 과도한 이탈, 변동성 확대, RSI 과매도 구간"
2022-07-05,3272.969651,0.005962615,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2022-07-06,3232.626713,-0.012326096,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2022-07-07,3212.936172,-0.006091189,2,주의,"이동평균 대비 과도한 이탈, 변동성 확대"
2022-07-18,3034.994161,-0.037665241,3,경계,"등락율 급등락, 이동평균 대비 과도한 이탈, RSI 과매도 구간"
2022-08-31,3240.242484,-0.027952827,2,주의,"등락율 급등락, RSI 과매도 구간"
2022-11-01,3005.044921,-0.023021857,2,주의,"RSI 과매도 구간, MACD 데드크로스"
2022-11-16,3288.904732,0.018680134,2,주의,"이동평균 대비 과도한 이탈, MACD 골든크로스"
